,value
n_observations,24
sample_start,2022-05-31
sample_end,2026-03-19
ann_return,0.12250581189641796
ann_volatility,0.123715740375957
raw_sharpe,1.001004544600461
excess_sharpe,0.6493541387811547
sortino_ratio,1.5135198081219559
calmar_ratio,1.8748408061714599
max_drawdown,-0.06534198076613361
drawdown_duration,10
skewness,0.1884614250828288
excess_kurtosis,-0.7301091476969934
historical_var_99,0.06043121537359339
expected_shortfall_99,0.0638525669455519
hit_rate,0.5833333333333334
best_period,0.1304653366296445
worst_period,-0.0638525669455519
bootstrap_mean_sharpe,1.0326057931214823
bootstrap_ci_low,0.0843750674826763
bootstrap_ci_high,2.095078201603992
deflated_sharpe_prob,0.01102998147343658
deflated_threshold_sr,1.7706762670566702
psr_vs_0.0,0.9075380889835714
psr_vs_0.5,0.6197891553659884
psr_vs_1.0,0.23702904823014137
mbl_target_0.5,inf
mbl_target_1.0,inf
mbl_at_observed_sr,inf
sample_length_months,48
n_trials_assumed,15
