,gross,net
annualised_return,0.06338727124367538,0.04545194782600226
annualised_volatility,0.095533554288862,0.09544148370683919
sharpe_ratio,0.24717147835248524,0.06837326366208911
sortino_ratio,0.3835704934434285,0.10137440159627444
max_drawdown,-0.1518404170819465,-0.16992192643571347
max_drawdown_duration_periods,25.0,27.0
calmar_ratio,0.41745980722290826,0.2674872441679743
win_rate,0.4897959183673469,0.4897959183673469
pct_negative_periods,0.4897959183673469,0.5102040816326531
total_return,0.28525741504560753,0.199015997120219
skewness,0.0838347879433232,0.08313390183944781
kurtosis,-0.7341703671905653,-0.7361345209779184
worst_period,-0.045181874993030724,-0.04645538153043483
best_period,0.0576075819735542,0.05636715213200431
hvar_99,0.044263409807656084,0.0454506227310274
cvar_99,0.045181874993030724,0.04645538153043483
annualised_turnover,7.190552249729439,7.190552249729439
n_periods,49.0,49.0
periods_per_year,12.0,12.0
information_ratio,-0.24271362697108628,-0.3305909888190083
tracking_error,0.19467603409128198,0.19461525755598372
benchmark_return,0.5104208907854466,0.5104208907854466
beta,-0.09561446695742745,-0.09548867471644139
alpha,0.07689304088791372,0.05979126331136164
